47097280.66208541,8875134.058682486,85319427.26548833,22105162.33519622,72089398.9889746,26885323.059614543,67309238.26455627
44516755.17191478,-1340227.026347734,90373737.3701773,14532486.179785654,74501024.1640439,20267479.232869934,68766031.11095962
41698464.62930408,-12925672.504682109,96322601.76329027,5981661.150891826,77415268.10771634,12813097.324334648,70583831.93427351
43322903.44269637,-18158293.41188913,104804100.29728186,3122509.607888326,83523297.27750441,10811507.443199746,75834299.442193
40507027.98829874,-28124848.388447754,109138904.36504522,-4368943.871726774,85382999.84832424,4214336.478886738,76799719.49771073
40530941.11815283,-34264122.638639584,115326004.87494524,-8374922.361282267,89436804.59758791,979142.1778023168,80082740.05850333
37095110.530187406,-43488937.05380858,117679158.1141834,-15595966.017030716,89786187.07740553,-5517916.155713402,79708137.2160882
38880115.32165443,-47073526.44017016,124833757.08347902,-17321950.141286187,95082180.78459504,-6572364.914327309,84332595.55763617
36170307.56825013,-55407823.809158735,127748438.94565898,-23709413.978729658,96050029.1152299,-12256415.502005234,84597030.63850549
36223820.83597469,-60467851.2934695,132915492.96541889,-26999465.290731207,99447106.9626806,-14906954.153474644,87354595.82542403
33020105.60502747,-68586986.05090208,134627197.26095703,-33417200.59509017,99457411.80514511,-20709954.351290632,86750165.56134558
34682596.32526689,-71593789.04000044,140958981.69053423,-34807796.926648624,104172989.57718241,-21516596.708946347,90881789.35948013
32162976.37693203,-79037980.36110239,143363933.11496645,-40547421.01903248,104873373.77289653,-26640341.141170036,90966293.89503409
32213114.324264597,-83555040.80566722,147981269.45419642,-43483613.58361615,107909842.23214535,-29005348.036876846,93431576.68540604
29235532.938681897,-90974296.58667004,149445362.46403384,-49365449.75142427,107836515.62878807,-34331696.89216046,92802762.76952425
30780652.184038363,-93696848.40615368,155258152.7742304,-50610810.62586383,112172114.99394056,-35043331.76160716,96604636.12968388
28438970.97838459,-100539084.58620483,157417026.54297403,-55895246.55494789,112773188.51171708,-39764916.62034384,96642858.57711303
28485573.033503942,-104717425.89294657,161688571.95995444,-58611186.476333775,115582332.54334167,-41952474.17401985,98923620.24102774
25718288.74733971,-111620005.32591487,163056582.8205943,-64082394.921910256,115518972.41658968,-46906511.890025884,98343089.3847053
27154280.816558808,-114185160.33194631,168493721.96506393,-65262612.30281778,119571173.9359354,-47586335.446897596,101894897.08001521
24977986.28809904,-120570234.1886972,170526206.7648953,-70190879.7143247,120146852.29052277,-51988242.00662938,101944214.58282745
25021297.02823644,-124511856.67559496,174554450.73206785,-72753176.75880995,122795770.81528282,-54052172.97296227,104094767.02943516
22449458.83960422,-130999683.10660776,175898600.78581622,-77885542.02970627,122784459.7089147,-58694794.60418961,103593712.28339806
23784030.516687457,-133472247.24984178,181040308.28321669,-79040322.6617745,126608383.6951494,-59373444.96263301,106941505.99600792
21761442.030330695,-139485967.28220442,183008851.3428658,-83672571.79568574,127195455.85634714,-63506552.840555616,107029436.90121701
21801693.84596322,-143249195.66751674,186852583.35944316,-86119282.00817572,129722669.70010217,-65477589.960654676,109080977.65258113
19411497.925756365,-149387138.21154496,188210134.0630577,-90959997.72920935,129782993.58072208,-69849602.77491157,108672598.6264243
20651812.262696482,-151803250.22411498,193106874.74950793,-92110492.07522207,133414116.60061505,-70542814.9643512,111846439.48974419
18772073.96142717,-157502285.70416406,195046433.62701842,-96487534.5705243,134031682.49337864,-74442206.25501755,111986354.17787188
18809482.89560824,-161123507.5536925,198742473.34490898,-98842375.72134307,136461341.51255956,-76339489.55700848,113958455.34822494
16588100.32125601,-166956833.98490322,200133034.62741524,-103425481.44006342,136601682.08257544,-80470876.2149835,113647076.85749552
17740814.46970871,-169337655.7544491,204819284.69386652,-104583222.24044584,140064851.17986327,-81186703.8546845,116668332.79410192
15993837.21505143,-174762416.3605007,206750090.79060358,-108734972.77098519,140722647.20108804,-84878501.26663867,116866175.69674152
16028604.053122148,-178265793.69896048,210323001.8052048,-111013674.06004399,143070882.1662883,-86714713.07425965,118771921.18050395
13964111.975334495,-183828272.82456088,211756496.77522987,-115365376.92983562,143293600.8805046,-90628948.61721648,118557172.56788547
15035412.909676379,-186186489.21877655,216257315.0381293,-116536516.8444804,146607342.66383314,-91371184.20558715,121442010.0249399
13411820.132837016,-191367483.1280272,218191123.39370126,-120486169.19510408,147309809.46077812,-94875938.74995732,121699579.01563135
13444131.479200961,-194769847.67855,221658110.63695192,-122699671.70425668,149587934.6626586,-96659891.78890978,123548154.7473117
11525449.128642438,-200087959.83708072,223138858.0943656,-126841121.73153254,149892019.98881742,-100376200.31322151,123427098.5705064
12521086.853278961,-202431188.8173275,227473362.52388543,-128028651.59902504,153070825.30558297,-101146162.85639922,126188336.56295715
11012164.228226194,-207392477.85967648,229416806.31612885,-131794955.28914766,153819283.74560004,-104480704.65398617,126505033.11043857
11042193.507901473,-210706020.76233876,232790407.77814168,-133951170.34793232,156035557.36373526,-106218763.9092492,128303150.92505215
9259022.721269164,-215801335.78461137,234319381.2271497,-137900035.84323066,156418081.285769,-109753404.06149979,128271449.50403811
10184341.132690473,-218134051.66372934,238502733.92911026,-139105031.54909575,159473713.81447667,-110550941.55430216,130919623.8196831
8781989.803665433,-222895270.34793362,240459249.95526448,-142703628.19254515,160267607.799876,-113729469.5402699,131293449.14760076
8809898.193110399,-226129118.82960087,243748915.21582168,-144808467.98499122,162428264.37121204,-115426385.56407803,133046181.95029885
7152668.139697291,-231019728.6772335,245325064.95662805,-148579891.44704226,162885227.72643682,-118793434.1682795,133098770.4476741
